Nome;Local;Hyperlink;Link;Double
Gazeta de Alagoas;Maceió;http://www.gazetadealagoas.com.br;http://www.gazetadealagoas.com.br;http://www.gazetadealagoas.com.br
Extra Alagoas;Maceió;http://www.extralagoas.com.br/;http://www.extralagoas.com.br/;http://www.extralagoas.com.br/
Cada Minuto;Maceió;http://cadaminuto.com.br/;http://cadaminuto.com.br/;http://cadaminuto.com.br/
Primeira Edição;Maceió;http://primeiraedicao.com.br/;http://primeiraedicao.com.br/;http://primeiraedicao.com.br/
Tribuna Hoje | Edição Digital;Maceió;http://www.tribunahoje.com/;http://www.tribunahoje.com/;http://www.tribunahoje.com/
Jornal A Notícia;Maceió;http://www.anoticia.online;http://www.anoticia.online;http://www.anoticia.online
Correio dos Municípios;Maceió;http://www.correiodosmunicipios-al.com.br/;http://www.correiodosmunicipios-al.com.br/;http://www.correiodosmunicipios-al.com.br/
Correio Notícia;Delmiro Gouveia;http://correionoticia.com.br/;http://correionoticia.com.br/;http://correionoticia.com.br/
Tribuna do Sertão;Palmeira dos Índios;http://www.tribunadosertao.com.br/;http://www.tribunadosertao.com.br/;http://www.tribunadosertao.com.br/
Correio do Povo;Penedo;http://www.correiodopovo-al.com.br;http://www.correiodopovo-al.com.br;http://www.correiodopovo-al.com.br
Tribuna União;União dos Palmares;http://www.tribunauniao.com.br/;http://www.tribunauniao.com.br/;http://www.tribunauniao.com.br/
Agência Alagoas;-;http://www.agenciaalagoas.al.gov.br/;http://www.agenciaalagoas.al.gov.br/;http://www.agenciaalagoas.al.gov.br/
Diário Oficial Estado de Alagoas;-;http://www.doeal.com.br/;http://www.doeal.com.br/;http://www.doeal.com.br/
D.O. Municípios Alagoanos;-;http://www.diariodosmunicipiosal.com/;http://www.diariodosmunicipiosal.com/;http://www.diariodosmunicipiosal.com/
Notícias Assembléia Legislativa AL;-;http://www.al.al.leg.br/comunicacao/noticias;http://www.al.al.leg.br/comunicacao/noticias;http://www.al.al.leg.br/
Notícias UFAL;-;https://ufal.br/noticias;https://ufal.br/noticias;https://ufal.br/
Notícias do Corpo de Bombeiros de Alagoas;-;http://www.cbm.al.gov.br/noticias/;http://www.cbm.al.gov.br/noticias/;http://www.cbm.al.gov.br/
Notícias do Detran de Alagoas;-;https://www.detran.al.gov.br/imprensa/;https://www.detran.al.gov.br/imprensa/;https://www.detran.al.gov.br/
Notícias do Procon de Alagoas;-;http://procon.al.gov.br/;http://procon.al.gov.br/;http://procon.al.gov.br/
Notícias da Polícia Civil de Alagoas;-;http://pc.al.gov.br/;http://pc.al.gov.br/;http://pc.al.gov.br/
Notícias Policias da PM de Alagoas;-;http://pm.al.gov.br/;http://pm.al.gov.br/;http://pm.al.gov.br/
Notícias de Coruripe AL + Coruripe;-;http://www.coruripe.al.gov.br/noticias;http://www.coruripe.al.gov.br/noticias;http://www.coruripe.al.gov.br/
Portal Gazeta Web;Maceió / AL;http://www.gazetaweb.com;http://www.gazetaweb.com;http://www.gazetaweb.com
Portal TNH1;Maceió / AL;http://www.tnh1.com.br;http://www.tnh1.com.br;http://www.tnh1.com.br
AL Na Hora;Maceió;http://alnahora.com.br/;http://alnahora.com.br/;http://alnahora.com.br/
Alagoas Alerta;Maceió;http://alagoasalerta.com.br/;http://alagoasalerta.com.br/;http://alagoasalerta.com.br/
Alagoas 24 Horas; Maceió / AL;http://www.alagoas24horas.com.br/;http://www.alagoas24horas.com.br/;http://www.alagoas24horas.com.br/
Diário de Alagoas; Maceió / AL;https://www.diariodealagoas.com/;https://www.diariodealagoas.com/;https://www.diariodealagoas.com/
Diário de Arapiraca;Arapiraca;http://diarioarapiraca.com.br/;http://diarioarapiraca.com.br/;http://diarioarapiraca.com.br/
Minuto Arapiraca;Arapiraca;http://www.minutoarapiraca.com.br;http://www.minutoarapiraca.com.br;http://www.minutoarapiraca.com.br
Minuto Nordeste; Arapiraca;http://www.minutonordeste.com.br/;http://www.minutonordeste.com.br/;http://www.minutonordeste.com.br/
Atalaia Pop; Atalaia;http://www.atalaiapop.com;http://www.atalaiapop.com;http://www.atalaiapop.com
Notícias Barra de Santo Antônio; Barra de Santo Antônio;http://g1.globo.com/al/alagoas/cidade/barra-de-sa;http://g1.globo.com/al/alagoas/cidade/barra-de-sa;http://g1.globo.com/
Notícias Barra de São Miguel; Barra de São Miguel;http://g1.globo.com/al/alagoas/cidade/barra-de-sa;http://g1.globo.com/al/alagoas/cidade/barra-de-sa;http://g1.globo.com/
Sertão em Foco; Batalha;http://www.sertaoemfoco.net/;http://www.sertaoemfoco.net/;http://www.sertaoemfoco.net/
Radar 89; Delmiro Gouveia;http://www.radar89.com.br;http://www.radar89.com.br;http://www.radar89.com.br
Inhapi em Foco;Inhapi;http://www.inhapiemfoco.com;http://www.inhapiemfoco.com;http://www.inhapiemfoco.com
Sertão Expresso;Inhapi;http://sertaoexpresso.com/;http://sertaoexpresso.com/;http://sertaoexpresso.com/
JG Notícias; Joaquim Gomes;https://www.jgnoticias.com/;https://www.jgnoticias.com/;https://www.jgnoticias.com/
Maragogi Online;Maragogi;http://www.maragogionline.com.br/;http://www.maragogionline.com.br/;http://www.maragogionline.com.br/
Visão de Alagoas; Maragogi / Norte AL;http://www.visaodealagoas.com.br/;http://www.visaodealagoas.com.br/;http://www.visaodealagoas.com.br/
Real Deodorense;Marechal Deodoro;http://www.realdeodorense.com.br;http://www.realdeodorense.com.br;http://www.realdeodorense.com.br
Murici Web;Murici;http://www.muriciweb.com.br/;http://www.muriciweb.com.br/;http://www.muriciweb.com.br/
Estadão Alagoas; Palmeira dos Índios;http://www.estadaoalagoas.com.br/;http://www.estadaoalagoas.com.br/;http://www.estadaoalagoas.com.br/
Aqui Acontece;Penedo;http://www.aquiacontece.com.br/;http://www.aquiacontece.com.br/;http://www.aquiacontece.com.br/
Boa Informação;Penedo;http://www.boainformacao.com.br;http://www.boainformacao.com.br;http://www.boainformacao.com.br
Diário Penedense; Penedo;http://diariopenedense.com.br/;http://diariopenedense.com.br/;http://diariopenedense.com.br/
Piaçabuçu News;Piaçabuçu;http://www.piacabucunews.com.br;http://www.piacabucunews.com.br;http://www.piacabucunews.com.br
Pilar 360º;Pilar;https://www.pilar360.com/;https://www.pilar360.com/;https://www.pilar360.com/
Quebrangulo Agora;Quebrangulo;http://quebranguloagora.com.br/;http://quebranguloagora.com.br/;http://quebranguloagora.com.br/
Alagoas na Net;Santana do Ipanema;http://www.alagoasnanet.com.br;http://www.alagoasnanet.com.br;http://www.alagoasnanet.com.br
Portal Maltanet;Santana do Ipanema;http://www.maltanet.com.br;http://www.maltanet.com.br;http://www.maltanet.com.br
Santana Oxente;Santana do Ipanema;http://www.santanaoxente.net;http://www.santanaoxente.net;http://www.santanaoxente.net
Sertão 24 Horas; Santana do Ipanema;http://www.sertao24horas.com.br;http://www.sertao24horas.com.br;http://www.sertao24horas.com.br
Mundaú Notícias;Santana do Mundaú;http://www.mundaunoticias.com;http://www.mundaunoticias.com;http://www.mundaunoticias.com
Mídia Sertão AL;São José da Tapera;http://www.midiasertaoal.com/;http://www.midiasertaoal.com/;http://www.midiasertaoal.com/
Tapera Notícia Vivo;São José da Tapera;http://www.taperanoticiavivo.com.br/;http://www.taperanoticiavivo.com.br/;http://www.taperanoticiavivo.com.br/
Alagoas NT;S. M. dos Campos;http://www.alagoasnt.com.br;http://www.alagoasnt.com.br;http://www.alagoasnt.com.br
São Miguel Web;S. M. dos Campos;http://www.saomiguelweb.com.br/;http://www.saomiguelweb.com.br/;http://www.saomiguelweb.com.br/
